ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id
,2507430,0,662,1.000000000000000,1685 AUSTIN AVE,0,13,2234954,SANBORN,48083,3024,0,,1963,231.570917637492755,31,88-20-26-401-022,3139.525179315983678,2270
,2900320,0,666,1.000000000000000,107 S MAIN ST,0,28,2184970,SANBORN,48067,3275,0,,1910,270.760147281022682,65,72-25-22-101-002,3259.029496236075829,2240
,2900750,0,683,1.000000000000000,28850 SOUTHFIELD RD,0,22,2192177,SANBORN,48076,33800,0,,1985,802.117197205245020,21,76-24-12-301-006,33727.796195474336855,2250
,2900792,0,688,1.000000000000000,21662 NORTHWESTERN HWY,0,23,2208485,SANBORN,48075,118388,0,,0,1667.520120635189414,21,76-24-36-476-028,125978.570305718734744,2250
,2901791,0,710,1.000000000000000,120 E 4TH ST,0,15,2143392,SANBORN,48307,2351,0,,1981,233.166413417068270,23,68-15-14-103-014,3388.757006498387909,2230
,2901873,0,712,1.000000000000000,10470 W 9 MILE RD,0,11,2108178,SANBORN,48237,1701,0,,1958,206.023314567006679,21,52-25-29-454-042,2198.469162203949509,2180
,2901905,0,713,1.000000000000000,22115 COOLIDGE HWY,0,13,2111467,SANBORN,48237,1440,0,,1961,181.137032843432877,21,52-25-31-228-030,1401.122772946934674,2180
,2902164,0,720,4.000000000000000,113 WESSON ST,0,28,2135557,SANBORN,48341,36600,0,,0,396.395309603782948,13,64-14-32-213-013,9154.971447758867725,2215
,2902222,0,726,1.000000000000000,42 W HURON ST,0,36,2131600,SANBORN,48342,12200,0,,0,503.580580193642561,13,64-14-29-409-011,12167.702364798826238,2215
,2466070,0,1166,1.000000000000000,46981 LIBERTY DR,0,21,2243864,SANBORN,48393,14373,0,,1991,506.524317088967734,31,96-22-09-152-008,14561.886488052490677,2295
,2466273,0,1174,1.000000000000000,47400 AVANTE DR,0,17,2243733,SANBORN,48393,12714,0,,1986,489.720927314192238,31,96-22-08-200-028,13067.626965705319890,2295
,2498140,0,1360,1.000000000000000,980 ELMSFORD DR,0,11,2237605,SANBORN,48083,800,0,,1964,123.450665362616562,31,88-20-34-277-008,853.862592440462777,2270
,2515893,0,1362,1.000000000000000,2321 JOHN R RD,0,21,2234902,SANBORN,48083,24250,0,,1989,640.071777150377557,31,88-20-26-200-068,25144.782324830273865,2270
,2483579,0,1577,1.000000000000000,126 FERLAND ST,0,13,2239903,SANBORN,48390,2464,0,,1948,219.310894533294743,21,92-17-34-410-001,2475.213795641132947,2275
,2496331,0,1840,1.000000000000000,2451 ELLIOTT AVE,0,20,2238576,SANBORN,48083,24603,0,,1974,726.579550817834502,31,88-20-36-326-040,25618.830413461175340,2270
,2500332,0,1904,1.000000000000000,980 CHICAGO RD,0,19,2237682,SANBORN,48083,14280,0,,1983,520.658572894881900,31,88-20-35-226-043,14392.367865733995131,2270
,2500889,0,1918,1.000000000000000,1170 SOUTER ST,0,23,2237576,SANBORN,48083,39945,0,,1970,1052.254587034363567,33,88-20-34-227-025,41097.180809153287555,2270
,2503436,0,1992,1.000000000000000,1625 W MAPLE RD,0,16,2237359,SANBORN,48084,77000,0,,1962,1322.212924096422512,31,88-20-32-226-003,81493.597662304702681,2270
,2505973,0,2048,1.000000000000000,1694 MAXWELL DR,0,19,2236665,SANBORN,48084,8460,0,,1979,387.855701833502337,31,88-20-29-326-024,8355.662043028947664,2270
,2509374,0,2129,1.000000000000000,1950 LIVERNOIS RD,0,10,2235421,SANBORN,48083,4116,0,,1987,263.576308023736658,23,88-20-27-307-038,4252.370929519636775,2270
,2510715,0,2156,1.000000000000000,1931 AUSTIN AVE,0,15,2234956,SANBORN,48083,4700,0,,1965,312.630597079331949,31,88-20-26-401-028,4675.695353349038669,2270
,2512210,0,2193,1.000000000000000,2002 STEPHENSON HWY,0,19,2234934,SANBORN,48083,21157,0,,1986,696.861764194566376,23,88-20-26-326-027,21986.075067887981277,2270
,2519763,0,2359,2.000000000000000,790-854 E BIG BEAVER RD,0,24,2467308,SANBORN,48083,189000,0,,2000,1497.932884570355782,21,88-20-27-201-066,94384.203811414568918,2270
,2520948,0,2395,1.000000000000000,1980 E BIG BEAVER RD,0,22,2234915,SANBORN,48083,12699,0,,2008,518.021461224091354,21,88-20-26-200-091,14543.444821934783249,2270
