ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,1234434,0,297359,2.000000000000000,"131 E CADY ST",0,19.000000000000000,1197016,SEMCOG,48167,7760,0,,1963,282.518593054277744,21,"48 004 02 0048 000",4422.111998434066663,1130,42.430536,-83.481729,1,rooftop,131,"E Cady St",,,Northville,MI,"Wayne County",48167,US,Semcog
,1235596,0,297389,4.000000000000000,"38705 7 MILE RD",0,50.000000000000000,1192063,SANBORN,48152,124880,0,,1987,933.650979462404848,23,"46 189 99 0035 000",30718.398917947142763,1120,42.423784,-83.429283,1,rooftop,38705,"7 Mile Rd",,,Livonia,MI,"Wayne County",48152,US,Semcog
,1281326,0,298304,1.000000000000000,"8000 RONDA DR",0,17.000000000000000,1315994,SANBORN,48187,47430,0,,1985,1234.424510230526039,31,"71 005 02 0016 000",51250.063009886434884,1020,42.345026,-83.451495,1,rooftop,8000,"Ronda Dr",,,Canton,MI,"Wayne County",48187,US,Semcog
,1281965,0,298320,1.000000000000000,"8703 N HAGGERTY RD",0,14.000000000000000,1315618,SANBORN,48187,1100,0,,1994,136.851378217754387,21,"71 002 99 0002 707",1070.622827842877996,1020,42.350653,-83.445159,1,rooftop,8703,"N Haggerty Rd N",,,Canton,MI,"Wayne County",48187,US,Semcog
,1345462,0,299388,1.000000000000000,"41001 PLYMOUTH RD",0,19.000000000000000,1371043,SANBORN,48170,33500,0,,1967,840.771674931506482,21,"78 027 99 0035 700",33520.184022019086115,1145,42.373331,-83.441471,1,rooftop,41001,"Plymouth Rd",,,Plymouth,MI,"Wayne County",48170,US,Semcog
,1347135,0,299418,1.000000000000000,"36780 AMRHEIN RD",0,21.000000000000000,1181570,SANBORN,48150,7100,0,,1952,384.785413856810521,31,"46 114 99 0029 000",7052.850671732593582,1120,42.375567,-83.405478,1,rooftop,36780,"Amrhein Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1347815,0,299429,2.000000000000000,"12841 STARK RD",0,24.000000000000000,1181122,SANBORN,48150,163300,0,,1978,1277.374643335608653,31,"46 109 03 0806 001",81668.222485238366062,1120,42.378035,-83.380646,1,rooftop,12841,"Stark Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1348476,0,299443,1.000000000000000,"37699-37709 SCHOOLCRAFT RD",0,19.000000000000000,1181663,SANBORN,48150,12500,0,,1985,461.547243247333768,33,"46 117 01 0022 001",12498.520197132405883,1120,42.380682,-83.415521,0.9,nearest_rooftop_match,37699,"Schoolcraft Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1348524,0,299444,1.000000000000000,"37473 SCHOOLCRAFT RD",0,19.000000000000000,1181665,SANBORN,48150,39400,0,,1979,1056.901835842785204,33,"46 117 01 0025 003",39366.936954054464877,1120,42.380325,-83.413754,1,rooftop,37473,"Schoolcraft Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1348570,0,299447,2.000000000000000,"36667 SCHOOLCRAFT RD",0,24.000000000000000,1181543,SANBORN,48150,519800,0,,1965,2497.962368602088645,23,"46 114 99 0002 001",259880.051992970344145,1120,42.380325,-83.405026,1,rooftop,36667,"Schoolcraft Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1349668,0,299467,1.000000000000000,"30411 SCHOOLCRAFT RD",0,22.000000000000000,1180752,SANBORN,48150,28480,0,,1974,792.285166204929169,23,"46 102 99 0016 000",28854.393028419741313,1120,42.382094,-83.343729,1,rooftop,30411,"Schoolcraft Rd",,,Livonia,MI,"Wayne County",48150,US,Semcog
,1362392,0,299646,2.000000000000000,"2500 E GRAND BLVD",0,24.000000000000000,1435303,SANBORN,48211,6100,0,,1981,243.835313986706836,31,"41 001 99 0002 000",3065.033288684633135,1090,42.380428,-83.046348,1,rooftop,2500,"E Grand Blvd",,,Detroit,MI,"Wayne County",48211,US,Semcog
,1377006,0,299910,2.000000000000000,"16471 WOODWARD AVE",0,27.000000000000000,1121216,SANBORN,48203,49900,0,,0,842.275535845922150,13,"43 003 01 0007 000",24958.645689958048024,1100,42.416277,-83.105008,1,rooftop,16471,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1381629,0,299986,1.000000000000000,"9450 BUFFALO ST",0,28.000000000000000,1114532,SANBORN,48212,207300,0,,1988,2511.538210104268273,31,"41 008 01 0599 402",207317.254420522716828,1090,42.398938,-83.045452,1,rooftop,9450,"Buffalo St",,,Hamtramck,MI,"Wayne County",48212,US,Semcog
,1383438,0,300014,1.000000000000000,"13222 WOODWARD AVE",0,15.000000000000000,1125357,SANBORN,48203,11800,0,,2001,568.286030353167234,21,"43 013 02 0006 303",11680.306920150298538,1100,42.402546,-83.094332,1,rooftop,13222,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1386340,0,300075,1.000000000000000,"245 VICTOR",0,16.000000000000000,1123343,SANBORN,48203,7031,0,,1964,917.078787891559500,31,"43 008 01 0025 002",24815.877926599601778,1100,42.409542,-83.089769,1,rooftop,245,"Victor St",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1480180,0,301604,1.000000000000000,"9000 MIDDLEBELT RD",0,12.000000000000000,1404249,SANBORN,48174,1700,0,,0,188.237331901961994,41,"80 053 99 0001 700",1728.715784973236623,1170,42.197138,-83.379144,1,rooftop,9000,"Middlebelt Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1490130,0,301774,1.000000000000000,"11375 MIDDLEBELT RD",0,16.000000000000000,1406672,SANBORN,48174,11700,0,,1998,465.817075682686664,23,"80 094 99 0019 701",11685.834620481740785,1170,42.220143,-83.32535,1,rooftop,11375,"Middlebelt Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1495666,0,301849,1.000000000000000,"703 W SERVICE DR",0,22.000000000000000,1404249,SANBORN,48242,62939,0,,1993,1140.316475057802791,41,"80 053 99 0001 700",46665.281675712656579,1170,42.231467,-83.354926,0.6,rooftop,703,"W Service Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1625498,0,304007,2.000000000000000,"439 VISGER",0,15.000000000000000,1072491,SANBORN,48229,3240,0,,1965,205.744160522198797,21,"34 001 05 0005 000",1781.479903510154145,1040,42.261856,-83.148132,1,rooftop,439,"Visger Rd",,,Ecorse,MI,"Wayne County",48229,US,Semcog
